firmId,Date Initiated_yr,Reporting Source
4297,2010.0,1
4297,2012.0,6
4297,2013.0,5
4297,2014.0,4
4297,2015.0,3
4297,2016.0,5
4297,2017.0,2
4297,2018.0,1
4297,2019.0,4
4300,2017.0,1
4316,2010.0,2
4316,2012.0,2
4316,2013.0,2
4316,2016.0,2
4316,2017.0,2
4421,2010.0,1
4806,2007.0,2
5049,2011.0,2
5100,2014.0,2
5100,2016.0,2
5167,2019.0,2
5251,2019.0,1
5300,2018.0,1
5361,2007.0,2
5376,2007.0,2
5376,2011.0,2
5393,2008.0,2
5393,2009.0,4
5393,2011.0,4
5393,2012.0,4
5393,2013.0,4
5393,2014.0,2
5393,2015.0,2
5393,2016.0,2
5393,2017.0,2
5611,2013.0,1
5611,2019.0,2
5633,2008.0,4
5633,2009.0,2
5633,2010.0,2
5633,2012.0,2
5633,2013.0,2
5633,2014.0,4
5633,2015.0,2
5633,2017.0,2
5670,2008.0,2
5670,2009.0,2
5670,2012.0,3
5670,2013.0,1
5670,2015.0,2
5670,2016.0,2
5670,2017.0,2
5670,2019.0,1
5670,2020.0,1
5685,2008.0,2
5685,2012.0,2
5797,2018.0,6
5844,2009.0,2
5844,2014.0,2
5845,2010.0,1
5845,2012.0,2
5940,2011.0,1
5953,2018.0,2
5958,2011.0,2
5979,2007.0,1
5979,2009.0,2
5979,2010.0,2
6105,2008.0,2
6158,2012.0,1
6183,2009.0,2
6183,2016.0,3
6183,2018.0,2
6193,2008.0,2
6220,2007.0,2
6220,2008.0,6
6220,2009.0,2
6220,2010.0,2
6220,2011.0,7
6220,2012.0,3
6220,2013.0,6
6220,2014.0,4
6220,2016.0,4
6220,2019.0,2
6255,2007.0,2
6255,2009.0,3
6255,2011.0,2
6255,2012.0,4
6255,2013.0,1
6255,2014.0,1
6271,2008.0,2
6271,2009.0,2
6271,2010.0,2
6271,2011.0,3
6271,2015.0,2
6271,2016.0,4
6281,2018.0,1
6312,2013.0,2
6312,2019.0,2
6363,2007.0,2
6363,2008.0,2
6363,2011.0,2
6363,2013.0,5
6363,2015.0,2
6363,2016.0,4
6363,2017.0,2
6380,2016.0,1
6413,2008.0,2
6413,2009.0,1
6413,2010.0,2
6413,2011.0,10
6413,2012.0,4
6413,2013.0,4
6413,2014.0,3
6413,2015.0,4
6413,2016.0,4
6413,2018.0,4
6413,2019.0,2
6482,2009.0,2
6506,2009.0,2
6578,2011.0,2
6579,2005.0,1
6579,2007.0,3
6579,2008.0,1
6579,2009.0,1
6619,2007.0,2
6619,2010.0,1
6619,2013.0,2
6619,2015.0,1
6627,2007.0,2
6627,2008.0,2
6627,2009.0,2
6627,2010.0,2
6627,2012.0,4
6627,2015.0,4
6627,2019.0,1
6670,2009.0,1
6670,2012.0,5
6670,2013.0,6
6670,2014.0,3
6670,2015.0,3
6670,2017.0,4
6670,2018.0,2
6694,2010.0,2
6694,2011.0,2
6694,2012.0,2
6694,2015.0,2
6694,2016.0,4
6694,2017.0,2
6694,2019.0,2
6731,2007.0,1
6731,2008.0,2
6731,2009.0,1
6731,2010.0,2
